date,competitor,channel,activity_type,impact_level,details
2021-01-20,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2021-01-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2021-01-24,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2021-01-26,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2021-01-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2021-02-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2021-02-04,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2021-02-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2021-02-12,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2021-02-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 10% vs prior week
2021-02-16,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2021-02-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2021-02-21,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2021-02-27,BrandX,google_search,aggressive_bidding,medium,Impression share lost 10% vs prior week
2021-03-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2021-03-04,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2021-03-06,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2021-03-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2021-03-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2021-03-20,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2021-03-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2021-03-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2021-03-26,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2021-03-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2021-04-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2021-04-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2021-04-09,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2021-04-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2021-04-12,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2021-04-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2021-04-19,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2021-04-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2021-05-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2021-05-09,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2021-05-22,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2021-05-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2021-05-28,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2021-05-29,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2021-05-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2021-06-02,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2021-06-20,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2021-06-27,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2021-06-28,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2021-06-30,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2021-07-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2021-07-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2021-07-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2021-07-20,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2021-07-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2021-07-26,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2021-07-27,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2021-07-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2021-07-31,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2021-08-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2021-08-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2021-08-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2021-08-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2021-08-17,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2021-08-20,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2021-08-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2021-08-22,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2021-08-24,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2021-08-26,BrandX,google_search,aggressive_bidding,medium,Impression share lost 10% vs prior week
2021-08-28,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2021-09-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2021-09-10,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2021-09-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2021-09-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2021-09-19,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2021-09-29,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2021-09-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2021-10-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2021-10-05,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2021-10-08,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2021-10-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2021-10-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2021-10-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2021-10-17,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2021-10-27,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2021-10-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 16% vs prior week
2021-11-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2021-11-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2021-11-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2021-11-13,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2021-11-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2021-11-18,BrandX,google_search,aggressive_bidding,high,Impression share lost 16% vs prior week
2021-11-23,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2021-11-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2021-11-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2021-11-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2021-12-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2021-12-11,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2021-12-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2021-12-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2021-12-23,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2021-12-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2021-12-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2022-01-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2022-01-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2022-01-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2022-01-07,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-01-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2022-01-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2022-01-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2022-01-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2022-01-23,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2022-01-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2022-01-28,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2022-02-01,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-02-04,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2022-02-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2022-02-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2022-02-16,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2022-02-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-02-24,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-03-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2022-03-04,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2022-03-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2022-03-10,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2022-03-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2022-03-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-03-17,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-03-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-03-26,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2022-03-28,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2022-03-31,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2022-04-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2022-04-04,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2022-04-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2022-04-09,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2022-04-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-04-17,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2022-04-23,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2022-05-04,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2022-05-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2022-05-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 10% vs prior week
2022-05-24,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-05-25,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2022-05-26,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-05-27,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2022-06-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2022-06-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-06-03,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-06-04,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2022-06-05,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-06-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2022-06-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2022-06-19,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-06-29,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2022-06-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2022-07-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2022-07-06,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2022-07-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2022-07-07,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2022-07-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2022-07-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2022-07-17,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2022-07-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2022-07-22,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2022-07-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2022-07-28,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2022-08-03,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2022-08-05,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2022-08-06,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2022-08-08,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-08-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2022-08-11,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2022-08-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2022-08-17,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2022-08-24,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-08-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2022-08-26,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-08-28,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2022-08-31,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2022-09-04,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2022-09-06,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2022-09-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-09-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2022-09-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2022-09-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2022-09-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2022-09-20,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-09-22,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2022-09-24,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2022-09-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2022-09-27,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2022-09-30,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2022-10-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2022-10-02,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2022-10-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2022-10-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2022-10-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2022-10-20,BrandX,google_search,aggressive_bidding,high,Impression share lost 16% vs prior week
2022-10-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2022-10-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2022-10-31,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-11-06,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2022-11-06,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-11-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2022-11-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2022-11-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2022-11-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2022-11-27,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2022-11-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2022-12-06,BrandX,google_search,aggressive_bidding,high,Impression share lost 16% vs prior week
2022-12-07,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2022-12-11,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2022-12-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
